date,open,close,high,low,volume,money
2010-05-25,4.61,4.44,4.66,4.39,85727646.0,386604288.0
2010-05-26,4.32,4.37,4.57,4.31,41494259.0,184805856.0
2010-05-27,4.36,4.37,4.38,4.2,33786885.0,144707088.0
2010-05-28,4.4,4.31,4.43,4.29,27550372.0,120027696.0
2010-05-31,4.31,4.2,4.31,4.2,19215400.0,81545184.0
2010-06-01,4.19,3.9,4.19,3.86,24732925.0,99275480.0
2010-06-02,3.87,3.93,3.94,3.82,13199546.0,51376760.0
2010-06-03,3.94,3.9,4.02,3.9,15713458.0,62335088.0
2010-06-04,3.9,3.94,3.96,3.85,9624162.0,37581684.0
2010-06-07,3.85,4.01,4.03,3.85,13311962.0,52848124.0
2010-06-08,4.02,4.0,4.02,3.96,8475869.0,33846344.0
2010-06-09,4.04,4.08,4.13,4.04,15223873.0,62207080.0
2010-06-10,4.06,4.11,4.14,4.06,11252618.0,46194472.0
2010-06-11,4.13,4.21,4.22,4.11,17797568.0,74529256.0
2010-06-17,4.28,4.12,4.3,4.11,13094968.0,54898284.0
2010-06-18,4.1,3.92,4.1,3.9,9595809.0,38326680.0
2010-06-21,3.96,4.09,4.11,3.93,8807272.0,35404992.0
2010-06-22,4.07,4.22,4.22,4.07,11570949.0,48149228.0
2010-06-23,4.22,4.32,4.32,4.16,29836094.0,127832376.0
2010-06-24,4.31,4.32,4.34,4.26,13347835.0,57573088.0
2010-06-25,4.28,4.35,4.38,4.28,18877372.0,81891008.0
2010-06-28,4.36,4.25,4.36,4.22,11484230.0,49197328.0
2010-06-29,4.23,4.09,4.28,4.06,10589800.0,43766076.0
2010-06-30,4.09,4.09,4.09,4.09,0.0,0.0
2010-07-01,4.09,4.12,4.21,4.06,9521537.0,39521708.0
2010-07-02,4.08,3.92,4.12,3.77,12604387.0,49920948.0
2010-07-05,3.88,3.86,3.91,3.81,6818625.0,26347966.0
2010-07-06,3.86,3.99,4.02,3.84,9417380.0,37448928.0
2010-07-07,4.02,4.03,4.06,4.0,5746609.0,23105792.0
2010-07-08,4.06,4.08,4.2,4.05,12253899.0,50583040.0
2010-07-09,4.13,4.21,4.25,4.09,11413047.0,47934400.0
2010-07-12,4.21,4.22,4.28,4.2,9104475.0,38532244.0
