date,open,close,high,low,volume,money
2020-07-16,95.0,82.92,95.0,80.0,552103902.0,47967171061.68
2020-07-17,79.0,77.06,84.9,75.0,219471588.0,17388147968.07
2020-07-20,77.19,79.17,80.51,70.02,228583338.0,17005228355.61
2020-07-21,78.3,78.63,82.89,77.77,161873271.0,12977663936.75
2020-07-22,77.8,79.57,81.78,77.2,133942790.0,10682494191.05
2020-07-23,78.01,78.78,79.72,75.85,122936978.0,9546577666.57
2020-07-24,77.5,71.95,78.12,71.52,130167775.0,9696538244.84
2020-07-27,72.67,70.82,73.81,70.02,79110560.0,5664810634.63
2020-07-28,72.82,72.56,75.16,72.03,81040594.0,5953460570.37
2020-07-29,71.9,75.07,75.2,71.6,86885769.0,6433711648.52
2020-07-30,75.27,75.69,76.39,73.2,99426582.0,7438275440.77
2020-07-31,74.9,82.21,84.99,74.81,157250773.0,12432836612.3
2020-08-03,85.4,84.0,87.88,83.77,143326060.0,12270869807.39
2020-08-04,84.3,81.08,84.49,80.2,85506277.0,6998693516.19
2020-08-05,87.0,83.0,87.0,82.58,117241744.0,9904635974.81
2020-08-06,82.0,84.82,85.88,81.11,101203606.0,8489473944.51
2020-08-07,83.3,80.47,83.3,78.92,111827466.0,9061987196.06
2020-08-10,78.32,77.89,79.65,76.86,72305415.0,5639742271.96
2020-08-11,77.8,76.4,78.8,76.33,54464774.0,4223043162.02
2020-08-12,76.33,75.23,76.92,73.78,55411063.0,4144760848.3
2020-08-13,75.81,75.18,76.66,74.86,37866175.0,2870501848.13
2020-08-14,75.0,75.55,75.77,74.45,29991872.0,2253491524.34
2020-08-17,75.0,76.02,76.45,74.0,57134597.0,4296284507.76
2020-08-18,76.18,74.28,76.18,74.09,60551664.0,4516831420.38
2020-08-19,74.0,71.84,74.0,71.77,60965290.0,4418995213.48
2020-08-20,71.2,72.1,73.09,70.86,34310825.0,2482309621.69
2020-08-21,72.71,71.87,72.93,71.5,25500160.0,1838554527.95
2020-08-24,72.0,72.0,72.85,70.72,35638295.0,2556129998.25
2020-08-25,72.29,70.82,72.8,70.8,35148130.0,2513313209.89
2020-08-26,70.69,66.26,71.45,65.51,83703605.0,5705034065.1
2020-08-27,65.89,67.23,68.6,63.89,62941100.0,4164490641.33
2020-08-28,67.8,66.78,68.19,66.21,41341674.0,2766297451.21
2020-08-31,66.9,66.68,67.8,66.67,32562958.0,2183774588.21
2020-09-01,66.3,65.35,66.47,65.01,32409415.0,2123804421.56
2020-09-02,65.5,64.17,65.54,64.02,36939259.0,2383392075.05
2020-09-03,64.19,65.08,65.48,63.03,55435101.0,3565232628.13
2020-09-04,63.9,66.28,67.54,63.51,53480701.0,3542112250.91
2020-09-07,61.4,58.8,62.2,58.66,127586361.0,7667763487.02
2020-09-08,58.2,57.55,58.8,57.28,51181985.0,2964123932.88
2020-09-09,56.6,54.11,56.82,54.11,66199104.0,3653673515.93
2020-09-10,54.8,52.78,55.4,52.76,39040435.0,2112378698.17
2020-09-11,52.78,55.23,55.49,52.66,43402279.0,2356657942.63
2020-09-14,55.61,54.88,56.25,54.8,34682972.0,1925020233.73
2020-09-15,54.99,56.39,56.98,53.71,48988229.0,2732452029.33
2020-09-16,55.68,56.7,58.28,55.51,49714810.0,2838787223.45
2020-09-17,56.08,57.7,58.58,55.8,49818044.0,2864303456.51
2020-09-18,57.4,57.69,58.2,56.83,33808410.0,1942951018.94
2020-09-21,58.06,56.46,58.4,56.41,28390760.0,1625888342.2
2020-09-22,56.0,55.86,57.34,55.62,21731349.0,1224428460.38
2020-09-23,56.25,56.22,56.88,55.82,21777556.0,1226320469.48
2020-09-24,55.7,54.5,56.29,54.5,23323538.0,1287005865.31
2020-09-25,54.8,53.7,54.87,53.66,19848386.0,1074227275.33
2020-09-28,51.5,49.94,51.51,49.9,55601045.0,2816915525.75
2020-09-29,50.18,50.09,50.65,49.45,28884698.0,1449882621.12
2020-09-30,50.25,49.65,50.5,49.5,23154695.0,1159574520.7
2020-10-09,51.0,50.94,51.38,50.5,30276467.0,1542809049.85
2020-10-12,51.4,57.41,58.17,51.18,83625045.0,4616348789.63
2020-10-13,56.6,57.29,57.74,55.93,44569009.0,2535942845.37
2020-10-14,57.3,55.96,57.45,55.77,28884319.0,1626497155.34
2020-10-15,56.2,57.3,59.86,56.2,56542140.0,3296259678.41
2020-10-16,59.5,58.21,59.86,57.7,38030820.0,2224178010.81
2020-10-19,58.49,60.28,61.1,57.76,59006912.0,3529811192.21
2020-10-20,59.7,59.5,59.98,58.4,35066961.0,2070347082.4
2020-10-21,59.69,57.65,59.8,56.92,35138418.0,2041440602.3
2020-10-22,57.2,57.67,58.8,56.38,28826455.0,1666799219.11
2020-10-23,57.6,57.22,58.18,57.13,24757287.0,1425408389.55
2020-10-26,56.89,58.45,58.8,56.26,32235587.0,1871698729.3
2020-10-27,58.0,58.7,59.02,57.5,29064923.0,1698753437.18
2020-10-28,58.55,59.33,59.59,57.81,33059553.0,1947820832.88
2020-10-29,58.55,60.88,61.32,58.4,48129787.0,2879715357.86
2020-10-30,61.05,62.24,65.54,61.05,91571492.0,5784075275.18
2020-11-02,63.44,62.65,63.47,60.35,51162309.0,3177812016.64
2020-11-03,62.5,64.56,65.47,62.34,55019705.0,3552075991.16
2020-11-04,64.2,63.0,65.25,62.51,46019242.0,2932736133.22
2020-11-05,65.0,64.84,65.5,63.56,41459641.0,2679866794.86
2020-11-06,64.59,64.95,65.65,64.02,35866355.0,2324846401.17
2020-11-09,66.5,67.85,69.25,66.0,73567416.0,5004833276.42
2020-11-10,66.78,66.01,68.0,65.8,41421590.0,2767504735.85
2020-11-11,65.5,61.36,65.66,61.21,61465794.0,3863527384.4
2020-11-12,62.9,61.86,63.39,61.58,28713037.0,1791068561.43
2020-11-13,61.9,62.46,63.07,60.5,27394221.0,1701915442.18
2020-11-16,62.54,61.79,63.18,61.3,22392396.0,1384427866.69
2020-11-17,61.61,60.93,61.66,59.4,36093178.0,2172718689.09
2020-11-18,60.65,61.36,61.89,60.45,23699192.0,1451754352.94
2020-11-19,60.95,61.23,62.05,60.45,18434711.0,1132300549.33
2020-11-20,61.45,61.03,61.77,60.6,17424785.0,1063633618.5
2020-11-23,60.85,60.91,61.45,60.03,22200829.0,1347405380.2
2020-11-24,60.65,61.31,61.95,60.48,21893051.0,1344939260.71
2020-11-25,61.3,60.2,61.62,60.18,21115625.0,1285778193.96
2020-11-26,60.29,58.64,60.88,58.61,23865384.0,1421922827.98
2020-11-27,58.41,58.93,59.66,58.34,16784034.0,987986785.21
2020-11-30,58.88,59.25,60.54,57.5,32206524.0,1906356399.28
2020-12-01,58.66,58.89,59.06,58.3,25399034.0,1490005841.56
2020-12-02,59.17,60.9,61.29,59.17,47975621.0,2903784012.13
2020-12-03,61.06,60.19,61.1,60.03,22043929.0,1334244413.71
2020-12-04,59.49,58.2,59.77,57.5,47553067.0,2774756087.87
2020-12-07,60.26,60.33,61.48,60.16,46548501.0,2830058075.38
2020-12-08,60.5,60.96,61.1,60.12,33427394.0,2034329230.95
2020-12-09,60.84,60.35,61.1,60.3,28036715.0,1704135611.25
2020-12-10,60.0,61.0,61.33,59.98,35819225.0,2181966687.77
2020-12-11,60.95,60.99,61.52,60.23,40109479.0,2444265694.07
2020-12-14,61.2,60.62,61.29,59.98,22303967.0,1347930783.06
2020-12-15,60.61,58.43,60.78,58.23,35208174.0,2081366155.39
2020-12-16,56.0,55.2,56.26,52.68,76413291.0,4156901710.5
2020-12-17,54.21,56.01,56.57,54.0,38985707.0,2152082301.52
2020-12-18,57.0,55.02,57.0,54.75,30263654.0,1690830727.23
2020-12-21,53.79,54.36,55.59,52.8,35737491.0,1942585876.73
2020-12-22,53.86,54.49,55.88,53.86,31372759.0,1727274732.87
2020-12-23,53.99,55.3,55.65,53.55,34041180.0,1861383091.1
2020-12-24,55.01,54.01,55.99,54.0,22347677.0,1225849466.95
2020-12-25,54.0,53.43,54.29,52.91,20128243.0,1077835977.2
2020-12-28,53.1,52.03,53.61,52.0,23818181.0,1256854150.76
2020-12-29,51.99,52.53,53.3,51.88,18488465.0,974087796.11
2020-12-30,52.4,56.47,57.05,52.27,57528552.0,3179917531.95
2020-12-31,57.0,57.75,58.57,56.42,47142907.0,2721084308.6
2021-01-04,58.37,58.26,59.06,56.75,39652638.0,2305861381.1
